,Article Name,Description,Author(s),Author Type(s),Date,URL
0,What Is Your Health Record Worth? The Unseen Economics Behind Your Medical Data,Real world data that harnesses deidentified health records is a multi-billion-dollar industry. But what is the value of a medical record? ,,,,https://www.forbes.com/sites/sethjoseph/2025/08/20/what-is-your-health-record-worth-the-unseen-economics-behind-your-medical-data/?ss=bigdata
1,Cold Data At FMS And Magnetic Tape Data Recovery,The 2025 FMS Conference included sessions and exhibitors working on colder storage. Channel Science developed a magnetic tape reader for recovering data from old tapes.,,,,https://www.forbes.com/sites/tomcoughlin/2025/08/18/cold-data-at-fms-and-magnetic-tape-data-recovery/?ss=bigdata
2,Ataccama Eyes Data Quality Cracks In AI Infrastructure Desert,"Ataccama is a data quality company powered by data lineage, governance and observability functions that seeks to underpin AI information infrastructure.",,,,https://www.forbes.com/sites/adrianbridgwater/2025/08/18/ataccama-eyes-data-quality-cracks-in-ai-infrastructure-desert/?ss=bigdata
3,High-Capacity SSDs Will Enable AI Workloads But Also Drive HDD Demand,"FMS 2025 shows growth of high-capacity SSDs, up to 1PB as well as high-capacity HDDs to support the growth of AI workflows.",,,,https://www.forbes.com/sites/tomcoughlin/2025/08/15/high-capacity-ssds-will-enable-ai-workloads-but-also-drive-hdd-demand/?ss=bigdata
4,Why Politicizing Economic Data Is Bad For Business,"Political interference in economic data threatens the business foundation that companies depend on for planning, forecasting, and investment decisions.",,,,https://www.forbes.com/sites/brentdykes/2025/08/13/why-politicizing-economic-data-is-bad-for-business/?ss=bigdata
5,U.S. Tariff Rate Soars To Levels Last Seen In The 1940s,The average U.S. tariff rate is estimated to rise to 11.4% in 2025 in the light of much of the Trump administration’s reciprocal tariffs reinstated since this week. ,,,,https://www.forbes.com/sites/katharinabuchholz/2025/08/08/us-tariff-rate-soars-to-levels-last-seen-in-the-1940s/?ss=bigdata
6,Sandisk And SK Hynix Agreement Enables Fast NAND Flash To DRAM In HBM Packages,"Sandisk and SK hynix announced that they would work together to create standards for high bandwidth NAND flash, HBF modules.",,,,https://www.forbes.com/sites/tomcoughlin/2025/08/06/sandisk-and-sk-hynix-agreement-enables-fast-nand-flash-to-dram-in-hbm-packages/?ss=bigdata
7,C2Q 2025 HDD Industry Growth Projected For 2025,"HDD unit shipments, exabyte shipments and revenue were up signicantly in C1Q 2025 versus C1Q 2025.  HDD companies projected 2025 industry growth.",,,,https://www.forbes.com/sites/tomcoughlin/2025/08/04/c2q-2025-hdd-industry-growth-projected-for-2025/?ss=bigdata
8,The Inference Difference: Why Clunky Data Engineering Unhinges AI,"Firms can’t benefit from agentic AI without the inference process being able to draw on fluid, well-governed and permissioned data supply.",,,,https://www.forbes.com/sites/adrianbridgwater/2025/08/01/the-inference-difference-why-clunky-data-engineering-unhinges-ai/?ss=bigdata
9,Off Track? Progress On The UN’s Sustainable Development Goals,"Political instability, climate change effects and economic woes have affected many of the UN’s SDGs. Out of 167 subtargets, only 25 are on track to reach their 2030 aims.",,,,https://www.forbes.com/sites/katharinabuchholz/2025/07/31/off-track-progress-on-the-uns-sustainable-development-goals/?ss=bigdata
