,Article Name,Description,Author(s),Author Type(s),Date,URL
0,Reinventing ERP With Event-Driven Agentic AI,"ERP systems are shifting from static and reactive to dynamic, event-driven platforms powered by agentic AI, enabling them to execute complex workflows autonomously.",,,,https://www.forbes.com/sites/moorinsights/2025/08/21/reinventing-erp-with-event-driven-agentic-ai/?ss=cloud
1,Zoom Outlines Strategic Plan To ‘Disrupt Itself’ At Perspectives 2025,The company that rose to new heights during the pandemic wants to be known as more than a video meetings provider. That gives it some interesting challenges to tackle.,,,,https://www.forbes.com/sites/moorinsights/2025/08/20/zoom-outlines-strategic-plan-to-disrupt-itself-at-perspectives-2025/?ss=cloud
2,Black Hat USA 2025: The Year Of The Enterprise Browser,"This year's Black Hat conference focused on the use of AI in both cyber attacks and cyber defenses, with secure enterprise browsers emerging as a key defense mechanism.",,,,https://www.forbes.com/sites/moorinsights/2025/08/20/black-hat-usa-2025-the-year-of-the-enterprise-browser/?ss=cloud
3,When An Enterprise Knowledge Graph Plan Comes Together,Enterpirise knoweldge graph technolgy underpins the most highly functional business planning software suites and tools today.,,,,https://www.forbes.com/sites/adrianbridgwater/2025/08/20/when-an-enterprise-knowledge-graph-plan-comes-together/?ss=cloud
4,When A Middle America City Goes Dark From A Cyberattack,"Middletown, Ohio was crippled by a ransomware attack. A warning to all cities: no town is too small to be targeted, and prevention is cheaper than recovery.",,,,https://www.forbes.com/sites/emilsayegh/2025/08/20/when-a-middle-america-city-goes-dark-from-a-cyberattack/?ss=cloud
5,Looming October CMMC Deadline Is America’s Y2K Moment,"DoD’s final CMMC rule takes effect in October 2025. Unlike the Y2K challenge, defense contractors now face a race against both the clock and determined adversaries.",,,,https://www.forbes.com/sites/emilsayegh/2025/08/19/looming-october-cmmc-deadline-is-americas-y2k-moment/?ss=cloud
6,Ataccama Eyes Data Quality Cracks In AI Infrastructure Desert,"Ataccama is a data quality company powered by data lineage, governance and observability functions that seeks to underpin AI information infrastructure.",,,,https://www.forbes.com/sites/adrianbridgwater/2025/08/18/ataccama-eyes-data-quality-cracks-in-ai-infrastructure-desert/?ss=cloud
7,Google’s Gemini Model Expands Its Reach On Oracle Cloud,The move by Google and Oracle signals a future in which AI is no longer locked to a single provider’s platform.,,,,https://www.forbes.com/sites/janakirammsv/2025/08/18/googles-gemini-model-expands-its-reach-on-oracle-cloud/?ss=cloud
8,Cisco Study Explores The Truth About RTO Mandates And Hybrid Work,"In the post-pandemic era, how are hybrid work models evolving as companies and their employees balance remote and in-office participation?",,,,https://www.forbes.com/sites/moorinsights/2025/08/15/cisco-study-explores-the-truth-about-rto-mandates-and-hybrid-work/?ss=cloud
9,Palo Alto Networks Completes Its Platform Play With CyberArk Deal,The proposed $25 billion acquisition reflects the growing importance of identity management — and would fill a crucial gap in the Palo Alto Networks portfolio.,,,,https://www.forbes.com/sites/moorinsights/2025/08/13/palo-alto-networks-completes-its-platform-play-with-cyberark-deal/?ss=cloud
