,Article Name,Description,Author(s),Author Type(s),Date,URL
0,iOS 18.6.2—Update Now Warning Issued To All iPhone Users,"Apple’s iOS 18.6.2 is here, along with a warning to stop what you are doing and update your iPhone now. Here’s what you need to know.",,,,https://www.forbes.com/sites/kateoflahertyuk/2025/08/21/ios-1862-update-now-warning-issued-to-all-iphone-users/
1,Microsoft Confirms Emergency Windows Update—Your PC ‘Might Fail’,This is critical — update your device now.,,,,https://www.forbes.com/sites/zakdoffman/2025/08/21/microsoft-confirms-windows-is-broken-emergency-update-on-way/
2,Change Your Browser Settings Now—Google Beaten By AI Attacks,"If Google's security doesn't work, the internet doesn't work — what to know.",,,,https://www.forbes.com/sites/zakdoffman/2025/08/21/google-soundly-beaten-by-new-ai-attacks-change-your-browser/
3,From SIEM Fatigue To Real-Time AI Security,"Agentic AI is reshaping cybersecurity, moving beyond SIEM limits to real-time defense while redefining the role of human analysts in the SOC.",,,,https://www.forbes.com/sites/tonybradley/2025/08/20/from-siem-fatigue-to-real-time-ai-security/
4,Delete Every App That’s On This List—Your Phone Will Be Tracked,"This ""secret"" network of apps with 700 million installs is a ""hidden"" threat.",,,,https://www.forbes.com/sites/zakdoffman/2025/08/20/delete-every-app-thats-on-this-list-your-phone-will-be-tracked/
5,When A Middle America City Goes Dark From A Cyberattack,"Middletown, Ohio was crippled by a ransomware attack. A warning to all cities: no town is too small to be targeted, and prevention is cheaper than recovery.",,,,https://www.forbes.com/sites/emilsayegh/2025/08/20/when-a-middle-america-city-goes-dark-from-a-cyberattack/
6,Microsoft’s Bad News—Most Windows Users Must Now Upgrade,More than 700 million Windows users at risk.,,,,https://www.forbes.com/sites/zakdoffman/2025/08/20/microsofts-bad-news-most-windows-users-must-now-upgrade/
7,Google Issues Emergency Security Update For All Chrome Users,Update and restart all browsers today.,,,,https://www.forbes.com/sites/zakdoffman/2025/08/20/google-issues-emergency-security-update-for-all-chrome-users/
8,The Wiretap: The DEA Laundered $19 Million Of Cartel Drug Money Into Cash And Crypto,"The DEA is now looking to recover bitcoin used to launder cartel drug money, which has gone from being worth $150,000 to $1.5 million today.",,,,https://www.forbes.com/sites/thomasbrewster/2025/08/19/the-wiretap-the-dea-laundered-19-million-of-cartel-drug-money-into-cash-and-crypto/
9,U.K. Backs Down Over Backdoor Access To Worldwide Apple User Data,The U.K. appears to have agreed to drop its demands for access to Apple user data currently protected by encryption.,,,,https://www.forbes.com/sites/emmawoollacott/2025/08/19/uk-backs-down-over-backdoor-access-to-worldwide-apple-user-data/
10,Google Chrome Attack Warning—99% Of Users May Be At Risk,Are you exposed to this new AI hacking?,,,,https://www.forbes.com/sites/zakdoffman/2025/08/19/google-chrome-attack-warning-billions-could-be-affected/
11,"If You Download This Game On Your PC, You Will Be Hacked",These games are more dangerous than you think.,,,,https://www.forbes.com/sites/zakdoffman/2025/08/19/microsoft-windows-warning-stop-playing-these-free-pc-games/
12,Looming October CMMC Deadline Is America’s Y2K Moment,"DoD’s final CMMC rule takes effect in October 2025. Unlike the Y2K challenge, defense contractors now face a race against both the clock and determined adversaries.",,,,https://www.forbes.com/sites/emilsayegh/2025/08/19/looming-october-cmmc-deadline-is-americas-y2k-moment/
13,Apple Encryption Fight—U.S. Forces U.K. To Drop ‘Back Door’,Apple wins fight with U.K. as encryption nightmare ends.,,,,https://www.forbes.com/sites/zakdoffman/2025/08/19/apple-encryption-fight-us-forces-uk-to-drop-back-door/
14,iOS 18.6.2—What’s In Apple’s Imminent New iPhone Update?,"A new iPhone update, iOS 18.6.2, is imminent, despite the recent launch of iOS 18.6.1. What's in Apple's soon-to-launch iPhone upgrade and when can you expect it?",,,,https://www.forbes.com/sites/kateoflahertyuk/2025/08/19/ios-1862-whats-in-apples-imminent-new-iphone-update/
15,Microsoft Confirms ‘Last Update’ For 700 Million Windows Users,This is the deadline — you must act now.,,,,https://www.forbes.com/sites/zakdoffman/2025/08/18/microsoft-confirms-last-update-for-700-million-windows-users/
16,C-Suite Lessons From Joe Sullivan And The Uber Data Breach,"Joe Sullivan’s conviction in the Uber data breach offers hard lessons on CISO and CSO accountability, incident response and executive risk in cybersecurity.",,,,https://www.forbes.com/sites/heatherwishartsmith/2025/08/18/c-suite-lessons-from-joe-sullivan-and-the-uber-data-breach/
17,‘Stop Texting’—Apple Reveals Best iMessage Upgrade In 14 Years,iOS 26 upgrade completely changes your iPhone.,,,,https://www.forbes.com/sites/zakdoffman/2025/08/18/why-you-should-stop-sending-texts-on-your-iphone/
18,PayPal Passwords For Sale Online—Change Yours Now,PayPal confirms data is from a security incident in 2022.,,,,https://www.forbes.com/sites/zakdoffman/2025/08/18/massive-2025-paypal-breach-change-your-password-now/
19,Delete Any Texts On Your iPhone Or Android If You See This Word,These 3 letters spell danger — every single time.,,,,https://www.forbes.com/sites/zakdoffman/2025/08/18/delete-any-message-on-your-smartphone-if-you-see-this-word/
