,Article Name,Description,Author(s),Author Type(s),Date,URL
0,How Trump’s Energy Secretary Built A $100 Million Fortune,The energy secretary had to sell his extensive oil-and-gas holdings upon taking office. Now his most valuable asset is an estate in the ultraswank Yellowstone Club. ,,,,https://www.forbes.com/sites/lilyogburn/2025/08/13/how-trumps-energy-secretary-built-a-100-million-fortune/
1,ICE Raids On California Cannabis Facilities: Here’s What We Know,Customs and Border Patrol says ICE officers found 10 minors at the raided cannabis facilities.,,,,https://www.forbes.com/sites/lilyogburn/2025/07/11/ice-raids-on-california-cannabis-facilities-heres-what-we-know/
2,"RFK Jr. Says Undocumented Immigrants Are Banned From Head Start, Federal Programs",The Department of Health and Human Services made a move to prevent undocumented immigrants from accessing federal programs on Thursday.,,,,https://www.forbes.com/sites/lilyogburn/2025/07/10/rfk-jr-says-undocumented-immigrants-are-banned-from-head-start-federal-programs/
3,U.S. Corn Flakes Creator Kellogg Bought By Italian Candy Maker Ferrero For $3.1 Billion,The Nutella and Tic Tacs owner will pay $23 for each of WK Kellogg’s shares. ,,,,https://www.forbes.com/sites/lilyogburn/2025/07/10/us-corn-flakes-creator-kellogg-bought-by-italian-candy-maker-ferrero-for-31-billion/
4,Trump’s Copper Tariff Will Likely Increase Crime. Here’s Why.,"Trump announced a 50% tariff on copper imports Tuesday, triggering a jump in U.S. copper prices that could cause an increase in metal theft. ",,,,https://www.forbes.com/sites/lilyogburn/2025/07/09/trumps-copper-tariff-will-likely-increase-crime-heres-why/
5,Songs By Fictional K-Pop Bands From ‘KPop Demon Hunters’ Claim No. 1 And No. 2 Spots On U.S. Daily Spotify Chart,"The viral movie and its fantasy pop stars are “Golden,” taking over Spotify’s daily chart and amassing millions of streams on Netflix. ",,,,https://www.forbes.com/sites/lilyogburn/2025/07/08/songs-by-fictional-k-pop-bands-from-kpop-demon-hunters-claim-no-1-and-no-2-spots-on-us-daily-spotify-chart/
6,Trump’s VA Secretary Sells Florida Condo,"Doug Collins offloaded a beachfront condo, one of the most valuable assets in his portfolio.",,,,https://www.forbes.com/sites/lilyogburn/2025/06/18/trumps-va-secretary-sells-florida-condo/
7,The Government Lights Remain On For Now Edition,"On this episode of Tax Breaks, Forbes Senior Writer Kelly Phillips Erb covers the budget resolution Trump signed this past weekend, IRS staffing and budget cuts, and the status of the current tax filing season. ",,,,https://www.forbes.com/video/ad111d7f-51df-463b-b152-8d5d7f9209c5/
8,Why Tesla Stock Has Taken A Nosedive,Elon Musk claims the carmaker will someday be the most valuable AI company in the world thanks to the reams of video data collected by its cars. Does all that data really give the company a competitive advantage?,,,,https://www.forbes.com/video/96630aba-75b3-44a0-b885-e735355291a8/
9,What Trump’s New Student Loan Forgiveness Order Means For 3 Million Borrowers,"On this episode of Forbes Talks, Breaking News Reporter Brittany Lewis, talks with Adam Minsky, a Forbes senior contributor, about President Trump's actions targeting the Public Service Loan Forgiveness program.",,,,https://www.forbes.com/video/e59eca67-f7d6-4794-9885-7b624a713c50/
10,Mayor Eric Adams’ Legal Troubles Are Taking A Bite Out Of His Net Worth,"The biggest chunks of Eric Adams’ fortune look to be largely illiquid, potentially complicating his fight against charges of corruption.",,,,https://www.forbes.com/video/f1b68836-d546-46fd-9c6a-ea7c7026c1e9/
11,Donald Trump Debuts Merchandise Collection Pegged To Election Victory,"The president-elect's online business taps into supporters' enthusiasm with high-priced goods that ""celebrate the big win"" and buyers' ""love for America.""",,,,https://www.forbes.com/video/97af68b6-cd16-413e-9aa4-b93b30d4e21d/
12,Trump Has Vowed To Reevaluate NATO And Reshape Global Trade | Forbes Topline,"President-elect Donald Trump has said he will reevaluate the country's role in NATO, end the war in Ukraine, restore travel bans from majority-Muslim countries, impose new restrictions on Chinese-owned infrastructure in the U.S. and build a missile defense shield system, among other priorities, in a return to office?here are the ?America First? foreign policy promises he?s made for a second term.",,,,https://www.forbes.com/video/4773e1d5-ed8a-4dd9-9293-055d665dbd3d/
13,Here's What The Failure Of Florida's Amendment 3 Means For Cannabis Legalization,Voters rejected legalizing recreational marijuana in the bellwether state. Here's what it means for federal legalization and pot's green wave.,,,,https://www.forbes.com/video/f3828955-8137-483c-aee9-e1cf056dbdb6/
14,"These Billionaire Fortunes Surged After Trump's Win: Bezos, Musk, And Buffet | Forbes Topline","The net worths of many of the world's wealthiest people skyrocketed Thursday, particularly those with strong ties to cryptocurrency, with stocks soaring following Donald Trump's election win as the president-elect is expected to embrace cryptocurrency and corporate tax cuts during his upcoming term.",,,,https://www.forbes.com/video/c79b7a45-4649-44d0-a992-88d590c44b30/
15,Trump Promised More Tariffs - That Means Everything Will Get More Expensive | Forbes Topline,"The United States drastically cut its reliance on tariffs as a primary form of federal revenue over a century ago. With Donald Trump?s return to the White House, a lot of things are going to change ? especially the price of everyday items.  While on the campaign trail, the president-elect made a number of promises regarding tariffs on foreign-made goods. Specifically, Trump said as recently as November 4 that there would be tariffs of at least 25% ? which could rise to as high as 100% ? on goods made in Mexico. Previously, he said that goods made in China should be hit with a 60% tariff, while anything manufactured abroad should have a blanket 20% tariff. Presuming Trump makes good on those promises, that would mean that a slew of imported items.",,,,https://www.forbes.com/video/aece4705-948f-4b4f-9383-dcf9530ca7a3/
16,Donald Trump's Net Worth Grows Nearly $300 Million: Trump Media Shares Surge | Forbes Topline,"Donald Trump's election victory sent shares in Trump Media & Technology Group soaring on Wednesday, a market shift that added nearly $300 million to Trump's fortune as he secured his second presidency.",,,,https://www.forbes.com/video/7d987a71-b596-488a-b4bc-0732ccbd36e6/
